ID,Joke
1,"Nicht nur das Brot ist in der CDU verkrustet, sondern auch die Strukturen."
2,Wer „pschhhht“ flüstert muss auch Halts Maul schreien können.
3,"Bewerbungsgespräche tun so, als wären sie ein Date, sind aber eigentlich ein Verhör."
4,"Bewerbungespräche sind, wenn man nicht Lügen darf, aber sollte."
5,"Einzimmerapartment, du bist für mich da, gibst mir Wärme und Heizkosten."
6,"Wenn sich nur jeder Mühe gibt, dann werden wir alle Jedi-Meister."
7,"Armin Laschet ist so ein Boomer, dass er dann im Kanzleramt seine Bundessprecher angruscheln würde."
8,"Peinlich, wer in Bewerbungsgesprächen nicht erwähnt, dass man schon mit 3 eigenen StartUp-Gründungen erfolgreich pleite gegangen ist."
9,Bewerbungsgespräche sind wenn man drei mal einen W20 wirft und erst in 7 Tage bis 6 Monate vom Ergebnis erfährt.
10,"Ich glaube mein Schnuffel, braucht mal paar Knuffel hinter die Wuffeln, aber was weiß ich auch schon von Inflation."
11,Der Neoliberalismus verwechselt in der Motivation von Menschen Ehrgeiz mit Mietzahlungen.
12,Pandas sind für mich auch nicht angemalte Kugelbären.
13,"Renter, die CDU wählen, verschätzen ihr Einkommen um das Zehnfache, weil sie sich von der Rente keine neue Brille leisten können."
14,"Wie wars eigentlich vor 50 Jahren, als wir auf der noch keine Milliardäre hatten. Gabs da nur trocken Brot?"
15,"Die 5. Todeswelle bei unseren Alten kommt dann, wenn die Opas und Omis in das Wahlprogramm der CDU auch wirklich mal reinlesen."
16,"Wenn Eichhörnchen wählen könnten, würde die Hälfte die AFD wählen, um die ausländischen Eichhörnchen abschieben zu können."
17,"Protipp: Wenn man jemand die Haare bürstet, aufpassen, dass man kein Rasierapparat in der Hand hält."
18,"Ich glaube der nächste Generationskonflikt steht schon vor der Tür, wenn die Boomer unsere Discords fluten."
19,"Der Unterschied zwischen Journalisten und Sozialarbeitern ist, dass die einen schlecht bezahlt werden, absurde Arbeitssituationen haben und von der Politik ständig in ihrer Arbeit behindert werden und die …Oh ne das waren die Gemeinsamkeiten."
20,"Gut ist, was schlecht sein könnte, aber zu teuer, um es schon wegzuwerfen."
21,"Wer glaubt, dass Vögel fröhlich sind, hat noch nie gesehen, wie traurig sie im Regen auf meiner Fensterbank sitzen."
22,Politiker sind nicht alle gleich – scheiße.
23,Angestellt als Lieferfahrer steht man in Lohnradhängigkeit.
24,"Für mich ist ein guter Plagiatjäger nur, wer wirklich ein Plagiat jagd und es danach isst. "
25,"Kein echter Plagiatsjäger in 2021, wer keine Selfies von sich und seinem Plagiat ins Internet lädt."
26,"Lieferfahrer, der Fetch-Quest job."
27,"Wenn die Hälfte deines Gehaltes das Trinkgeld ausmachst, bist du entweder Lieferfahrer, oder Risikotrader eines großen Finanzinvestors."
28,"Das geht raus an alle, die keine Waschmaschinen haben."
29,"Gut, dass Corona vorbei ist, jetzt sterben die Alten wieder an Hitze und Einsamkeit, so wie es früher war."
30,"Wenn ich ausziehe, lasse ich 1 Klopapierrolle, 1 halbleere Fitflasche und 2 gleiche Schrauben in verschiedenen Ecken des Raumes für den nächsten Mieter zurück."
31,"Wenn ich mal roß bin, will ich auch mal wie Frank Thelen Geld an die FDP spenden."
32,Du magst das Internet? Warte ab bis Onkel Enno dein Reddit entdeckt.
33,"Ausländische Pflegekräfte, werden ignoriert, wie Salz, seitdem ich Karl Lauterbach kenne."
34,"Es bestürzt mich, brüstet er sich mit seiner Bürste? Brüste sind mir wichtig, aber mich bestürzt, dass er sich weniger mit seinen Brüsten, als mit seiner Bürste brüstet."
35,Meine Top4-Date-Großstadt Themen. Was machst du so? In welchem Stadtteil wohnst du eigentlich? Wie groß ist deine Wohnung? Sind 400 Euro Kaltmiete in Ordnung? 
36,Es ist eine harte Welt für alte weiche Menschen.
37,"Tee hat zwar keine Kalorien, aber wenn man den Teebeutel isst, ist das trotzdem nicht gut."
38,"Tee sei gesund haben sie mir gesagt, aber trotzdem fühle ich mich nicht gut, wenn ich nachts eine ganze Packung Teebeutel esse."
39,"Glauben ist was ganz Privates, deshalb sollten FDPler im Fernsehen nichts mehr von der unsichtbaren Hand des Marktes erzählen."
40,Sind Brezel eigentlich Snack oder Grundnahrungsmittel?
41,Jedes Bier in Deutschland ist 1 Bier für Deutschland.
42,Mein Lokalpatriotismus ist meine WOW Gilde.
43,"Olaf Scholz ist schon deshalb mein Kanzler, weil er Palpatine derzeit noch am Ähnlichsten aussieht."
44,. Hat der Verfassungsschutz eigentlich eine Akte zu Hans Georg Maaßen und könnte man die per IFG anfragen?
45,"Ich glaube, wenn man kriminelle junge Männer bekämpfen will, dann muss man in der Schule erstmal Weinunterricht geben."
46,"Neuer Saw-Plot: Du hast 50 Minuten, um das Seil zu einem unnötig komplizierten Mechanismus durchzuschneiden, bis sonst eine Teddystatue deinen linken Arm abreißt. Das Problem: Du hast nur den rechten Arm frei und da auch nur eine Linkshänderschere."
47,"Wenn das Aueland die Grünen sind, dann ist Modor die über 70% der Deutschen über 50 Jahren."
48,"Es ist hart alleine zu leben, deshalb habe ich seit 3 Monaten einen neuen Mitbewohner in Form einer vertrockneten Pflanze."
49,"Laschet ist so unfähig, dass er selbst einen Türknauf runterdrücken will."
50,"Wer Laschet wählt, der drückt bei der Cookie-Auswahl auch auf „Alles Akzeptieren“. "
51,"Vlt. Ist das Glas halb voll, vielleicht ist es halb leer. Sicher ist: Es ist 100% nestle."
52,"Wenn die SPD ein Brot wäre, würde ich es nicht kaufen."
53,"Wir brauchen jetzt jemanden an der CDU-Spitze, der Ahnung hat und weiß, wie man sich deutlich von rechten distanziert: Steffen Seibert."
54,"Gibt es eigentlich genug Ministerien in Deutschland, dass jede Firma mit über 100 Millionen Umsatz ihren eigenen CDU-Minister zugeteilt bekommt?"
55,"Richtig reich bist du erst, wenn du wegen Insiderhandel ins Gefängnis kommen kannst."
56,"Ich find‘s gut, dass wir die Reichen sanft behandeln, sonst zerbrechen ihre kleinen gläsernen Herzchen."
57,"Früher hatten Menschen noch vor echten Gefahren Angst: Dunkelheit, Monster etc. Heute weinen Mitt-50-ger Boomer, wegen 2 % Inflation."
58,"Baby, ich liebe dich so sehr, dass ich die nächsten 8 Jahre eine Fernbeziehung mit dir führen will, wo wir uns nur 1 mal im Monat für 3 Tage sehen."
59,"Maaßen kandidiert gar nicht für die CDU als Bundestagskandidat, sondern parallel gleich als V-Mann für den Verfassungsschutz."
60,Laschets Wirtschaftskonzept ist genau wie meine Milch. Schlecht.
61,"Ich date mich nur mit Menschen, die so reich sind, dass sie vom Wirtschaftsprogramm der CDU profitieren."
62,"Volkswirtschaft ist irgendwie kein guter Begriff, weil das Volk nur aus 30 Ottos an der Spitze besteht."
63,"Wir haben ja eine Volkswirtschaft in Deutschland, aber welches Volk sollen diese 30 superreichen Ottos denn bitte darstellen?"
64,"Unpopular opinion, aber ich wünsche mir Jürgen Todenhöfer in der nächsten Bundesregierung als neuer Bundesminister für Quatsch."
65,"Renterigster Rentner, der Rentnerigkeit bestätigt: Armin hätte Kanzler gekonnt."
66,"Ich kann fliegen, du bist ein Hamster und Armin kann Kanzler."
67,"Armins Kanzleraussichten sind in etwa so hoch, wie mein Gehalt."
68,"Laschets-Zukunftsteam sieht so aus, als würde es alleine mit der Kraft der Bürokratie Thanos klatschen wollen."
69,"Wenn Laschets Zukunftsteam Vollgas Richtung Zukunft fährt, dann würde ich lieber nicht in das Auto einsteigen."
70,"Laschets Zukunftsteam ist wie Ocean Eleven, nur ohne guten Plot, ohne gute Charaktere und ohne Plan."
71,"Laschets Zukunftsteam ist vor Allem deshalb schlecht, dass es Laschets Zukunftsteam ist."
72,"Ziemlich schwach, dass der Kandidat für Eigenverantwortung allen Ernstes ein ganzes ZukunftsTEAM braucht."
73,"Laschets Zukunftsteam wäre schon jetzt 100% erfolgreicher, wenn es nur Zukunftsteam heißen würde."
74,"Laschets Zukunftsteam sollte man nicht unterschätzen, da steckt viel Erfahrung drin. Der Teamleader hat beispielsweise bereits außergewöhnlich viel Erfahrung im Verlieren."
75,Die Medien aus Österreich haben wenigstens Geld für die Liebesartikelbekommen. Die Bild kriegt einfach nur eine Erektion.
76,Die junge Union riecht nach Wurst.
77,Hamster auch bisschen die Goblins unser Kartoffelfelder.
78,"Fortschritts-Bündniss? Wer fortschreitet, kann auch in Scheiße treten. Frag mal Meuthen."
79,"Wenn Batman so ein toller Typ ist, warum hat er sich dann nie für eine Vermögenssteuer eingesetzt?"
80,"Wer bei Hartz 4 an faule Hartz 4 Empfänger denkt, sollte sich gefälligst mal mehr Mühe geben beim Nachdenken!"
81,Die Soziale Gerechtigkeit der Ampel steckt schon im Namen.
82,Ganz großen Respekt vor der Lebensleistung von Schäuble in seiner Rolle als Bundestagspräsident und in seiner Rolle als Imperator in Star Wars 6.
83,"Um den Klimawandel aufzuhalten müssen wir alle mehr verzichten, beispielsweise auf Friedrich Merz."
84,"Söder ist der coole Onkel, der dir zu deiner 18. Geburtsagsfeier einen kleinen Feigling mitbringt und dir dann dafür dein Gras aus deinem Zimmer stiehlt."
85,"Der Unterschied zwischen der CDU und meinem Vater zum 6 Geburtstag ist, dass ich mich freue, wenn die CDU weg ist."
86,"Ich bin arbeitslos. Das bedeutet, dass mein Sachbearbeiter nicht arbeitslos ist."
87,"Die EU Außengrenze sind so sicher, dass ich mir sicher bin, dass dort Menschenrechtsverletzungen begangen werden."
88,Hartz 4 Sanktionen sind wie AFD-Vorsitzender Höcke. Hört sich nicht gut an und schadet der Menschheit.
89,"Zwei Berühmte im Gespräch: „Denkst du, ich könnte irgendwann mal endlich berühmt sein?“ „Ich denke, wenn du dir richtig Mühe gibst, dann kannst du das schaffen!"
90,Hab letztens einen Künstler gesehen der Pantomime zur Klimapolitik der Bundesregierung gemacht hat. 
91,"Wenn die schwarze Null ein Fetisch ist, dann ist die Klimapolitik der Bundesregierung dieser aufregend-süßlich-sinnliche Nippel-Twister."
92,"Die CDU braucht jetzt jemanden an der Spitze mit Regierungserfahrung, jemanden, der auch Lebenserfahrung hat und nicht nur in der Politik sein ganzes Leben war: Begrüßen Sie jetzt: Imperator Sidius."
93,"Ich bin Licht! Du siehst mich aus der Zukunft! Indem was ich darstelle, bin ich nur eine Rolle meiner Selbst. – Jeder Kunststudent in einem Vorstellungsvideo."
94,"Die CDU „sucht“ einen Vorsitzenden, wie ich „die Liebe meines Lebens“ „suche“."
95,"Reiche merken ihren Reichtum nur daran, dass andere arm sind."
96,"Würde es Harry Potter in unser Welt wirklich geben, würde er uns mittlerweile irgendwelche CryptoScams andrehen."
97,"War letztens bei einem Dealer und als ich ihm 2 Hunnis  für Koks gegeben habe, meinte er: So funktioniert Poker nicht."
98,"Deutsche Squidgames, wenn du Spiele wie „Fangen“ und „hinter der Turnhalle unbemerkt Rauchen“ überlebst und am Ende gewinnst du nicht 15 Milliarden Euro, sondern einen Therapieplatz in Berlin  außerhalb der Arbeitszeiten."
99,"Ich denke, man muss Kinder mit Liebe erziehen und mit Liebe meine ich meinen 2 m großen sibirischen Bären-Jagdhund."
100,"Wer kein Konto bei Frag den Staat hat, ist bei Staatsbürger nicht mitgemeint"
101,Friedrich Merz ist kein Boss. Klar erkennbar am ständigen Respawn alle paar Jahre.
102,"FDP Logik: Mehr haben zu wollen, als man braucht, ist ein stärkerer Motivator, als zu wenig zu haben und genug haben zu wollen."
103,"Einen Job zu haben, ist wie Therapie zu haben. Nur ohne Therapie."
104,Y=xQuadrat: Ich in der 5. Klasse und die deutsche Bundesregierung: Damit konnte ich nicht rechnen.
105,Die Modelleisenbahn in Seehofers Keller hat mehr gegen Rassismus in der Polzei getan als Seehofer.
106,"Die „Ampel“ ist eine gute Metapher für die Ampel-koalition, weil sie weder Raser vom Rasen abhält noch Kinder aus der Armut holt."
107,"Schon weird, dass Merz überhaupt Klimaschutz will. So sehr, wie er beruflich auf Hoffnung setzt. "
108,"Die Gesellschaft muss anfangen, näher zusammenzurücken. Letzter Satz in dem Brief von meinem Vermieter zur Eigenbedarfskündigung."
109,CDU-Parteivorstandstreff auch nur deutsches Snatch-Game.
110,"Man vergisst immer, es gibt auch gute Gründe, sich nicht impfen zu lassen. Zum beispiel, weil Manni auf Facbeook gestern was geteilt hat."
111,Impfgegner auf Facebook sind die unbezahlten Praktikanten der Rentenversicherungslobby.
112,"Alte Menschen nutzen keinen Hut, um ihre Glatze zu verdecken, sondern einen Kamm."
113,Arbeitslosen sage ich immer: Nirgendswo geht es dir so gut wie hier und deshalb darfst du gerne noch so lange bleiben wie du willst mein Freund.
114,"Ich sag mal so: das auf Arrakis, wäre nicht passiert, hätten die Atreidis einen Hyperloop zu den Fremen gebaut."
115,"Weidel hat jetzt Corona, aber bitte unterlassen Sie zynische Kommentare. Corona ist mit der Situation auch nicht glücklich."
116,"Die 4. Coronawelle kommt ungefähr so überraschend, wie dass Friedrich Merz schon wieder für den CDU Vorsitz kandidieren will."
117,"Dass Merz keine Bossqualitäten hat, sieht man schon daran, dass er nach jedem Death einfach respawnt, genau wie ein NPC."
118,Merz ist auch nur eine Werbung für Death-Loop.
119,"Wenn Lachen wirklich die beste Medizin ist, dann müsste Corona komplett von der Erde verschwinden, wenn Friedrich Merz offiziell schon wieder CDU-Vorsitz werden will."
120,"Merz denkt von sich selber, er wäre im New-Game +, aber in Wirklichkeit stirbt er immer im Tutorial."
121,Echte Männer wie Friedrich Merz halten den Comedy-Wirtschaftsstandort Deutschland am Laufen.
122,"Merz ist wie der 15 Jahre alte Sauerkraut-Tontopf meiner Eltern, der „irgendwann mal fertig und richtig gut sein wird“, aber bis dahin nur alle 2 Tage mal leere leicht stinkende Gase ausstößt."
123,"Unpopulärer Take, aber Friedrich Merz ist der beste Kanzler für Deutschland, den ich mir mit 320 Mikrogramm LSD vorstellen kann."
124,"Friedrich Merz ist 100% abgelaufene toxische Männlichkeit, die jetzt aber nur noch leicht sauer und vor Allem sehr salzig ist."
125,"Friedrich Merz will keine Nebentätigkeiten neben seinem Mandatsamt haben, aber ich glaube da lügt er. Seine Haupttätigkeit ist ja jetzt schon Wahlen-Verlieren."
126,"Merz Buch würde sich besser verkaufen, wenn der Titel ehrlichweise nicht „Mehr Kapitalismus wagen!“ heißen würde, sondern „Mehr Kapital-Ist-Muss wagen!“"
127,"Für echten Klimaschutz müssen wir alle mehr verzichten. Ich gehe mit gutem Beispiel voran und verzichte auf mein Auto für den Arbeitsweg, auf Kurzstreckenflüge und das wichtigste für das 1,5 Grad Ziel: Ich verzichte auf Friedrich Merz."
128,"Lindner ist, wenn Eigenbedarfserklärung ein Gesicht hätte."
129,"Eil: Hungerkatastrophe hält weiter an. Welchen Einfluss das auf ihr Aktien-Portfolio haben sollte. Lesen Sie hier weiter."
